"#","Reference","Qty","Value","Footprint","DNP"
"1","BZ1","1","Buzzer","Buzzer_Beeper:Buzzer_12x9.5RM7.6",""
"2","C1, C3","2","10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"3","C2, C4","2","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"4","J1","1","Conn_01x05","Connector_PinHeader_2.00mm:PinHeader_1x05_P2.00mm_Vertical",""
"5","J2, J3, J4, J5","4","Conn_01x01","Connector_PinHeader_2.00mm:PinHeader_1x01_P2.00mm_Vertical",""
"6","R1, R2, R4","3","1k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"7","R3","1","1K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"8","R5","1","0Ω","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"9","RV1","1","Varistor","Potentiometer_THT:Potentiometer_Runtron_RM-065_Vertical",""
"10","SW1, SW2, SW3","3","SW_Push","lcd:contact pad",""
"11","U1","1","ESP-12E","RF_Module:ESP-12E",""
"12","U2","1","TM1621D","Package_SO:SOIC-24W_7.5x15.4mm_P1.27mm",""
"13","U3","1","bare-lcd","lcd:bare-lcd-footprint12",""
"14","U4","1","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
"15","U5","1","ATtiny13A-S","Package_SO:SOIC-8W_5.3x5.3mm_P1.27mm",""
